time,received,sent
2022-06-22 14:07:53,0,0
2022-06-22 14:07:52,0,0
2022-06-22 14:07:51,0,0
2022-06-22 14:07:50,0,0
2022-06-22 14:07:49,0,0
2022-06-22 14:07:48,0,0
2022-06-22 14:07:47,0,0
2022-06-22 14:07:46,0.2409034,-0.4138597
2022-06-22 14:07:45,0.3830966,-0.6581403
2022-06-22 14:07:44,0,0
2022-06-22 14:07:43,0,0
2022-06-22 14:07:42,0,0
2022-06-22 14:07:41,0,0
2022-06-22 14:07:40,0,0
2022-06-22 14:07:39,0,0
2022-06-22 14:07:38,0,0
2022-06-22 14:07:37,0,0
2022-06-22 14:07:36,0,0
2022-06-22 14:07:35,0,0
2022-06-22 14:07:34,0,0
2022-06-22 14:07:33,0,0
2022-06-22 14:07:32,0,0
2022-06-22 14:07:31,0,0
2022-06-22 14:07:30,0,0
2022-06-22 14:07:29,0,0
2022-06-22 14:07:28,0,0
2022-06-22 14:07:27,0,0
2022-06-22 14:07:26,0,0
2022-06-22 14:07:25,0,0
2022-06-22 14:07:24,0,0
2022-06-22 14:07:23,0,0
2022-06-22 14:07:22,0,0
2022-06-22 14:07:21,0,0
2022-06-22 14:07:20,0,0
2022-06-22 14:07:19,0,0
2022-06-22 14:07:18,0,0
2022-06-22 14:07:17,0,0
2022-06-22 14:07:16,0,0
2022-06-22 14:07:15,0,0
2022-06-22 14:07:14,0,0
2022-06-22 14:07:13,0,0
2022-06-22 14:07:12,0,0
2022-06-22 14:07:11,0,0
2022-06-22 14:07:10,0,0
2022-06-22 14:07:09,0,0
2022-06-22 14:07:08,0,0
2022-06-22 14:07:07,0,0
2022-06-22 14:07:06,0,0
2022-06-22 14:07:05,0,0
2022-06-22 14:07:04,197657.6,-658.8583
2022-06-22 14:07:03,820890.9,-2685.488
2022-06-22 14:07:02,1369819.4,-4586.91
2022-06-22 14:07:01,1453977.2,-4992.963
2022-06-22 14:07:00,1474557.9,-5191.731
2022-06-22 14:06:59,1593164.7,-6028.942
2022-06-22 14:06:58,1659670.9,-6045.549
2022-06-22 14:06:57,1634417.9,-5669.13
2022-06-22 14:06:56,1654569.8,-5794.798
2022-06-22 14:06:55,1566441.3,-5885.416
2022-06-22 14:06:54,1532039.1,-5588.115
2022-06-22 14:06:53,1566416.4,-5564.273
2022-06-22 14:06:52,1275740.7,-4495.379
2022-06-22 14:06:51,415645,-1261.4071
2022-06-22 14:06:50,15.345909,-20.9441
2022-06-22 14:06:49,0,0
2022-06-22 14:06:48,0,0
2022-06-22 14:06:47,0,0
2022-06-22 14:06:46,0,0
2022-06-22 14:06:45,0,0
2022-06-22 14:06:44,0,0
2022-06-22 14:06:43,0,0
2022-06-22 14:06:42,0,0
2022-06-22 14:06:41,0,0
2022-06-22 14:06:40,0,0
2022-06-22 14:06:39,0,0
2022-06-22 14:06:38,0,0
2022-06-22 14:06:37,0,0
2022-06-22 14:06:36,0,0
2022-06-22 14:06:35,0,0
2022-06-22 14:06:34,0,0
2022-06-22 14:06:33,0,0
2022-06-22 14:06:32,0,0
2022-06-22 14:06:31,0,0
2022-06-22 14:06:30,0,0
2022-06-22 14:06:29,0,0
2022-06-22 14:06:28,0,0
2022-06-22 14:06:27,0,0
2022-06-22 14:06:26,0,0
2022-06-22 14:06:25,0,0
2022-06-22 14:06:24,0,0
2022-06-22 14:06:23,0,0
2022-06-22 14:06:22,0,0
2022-06-22 14:06:21,0,0
2022-06-22 14:06:20,0,0
2022-06-22 14:06:19,0,0
2022-06-22 14:06:18,0,0
2022-06-22 14:06:17,0,0
2022-06-22 14:06:16,0,0
2022-06-22 14:06:15,0.2410375,-0.41409
2022-06-22 14:06:14,0.3829625,-0.65791
2022-06-22 14:06:13,0,0
2022-06-22 14:06:12,0,0
2022-06-22 14:06:11,0,0
2022-06-22 14:06:10,0,0
2022-06-22 14:06:09,0,0
2022-06-22 14:06:08,0,0
2022-06-22 14:06:07,0,0
2022-06-22 14:06:06,0,0
2022-06-22 14:06:05,0,0
2022-06-22 14:06:04,0,0
2022-06-22 14:06:03,0,0
2022-06-22 14:06:02,0,0
2022-06-22 14:06:01,0,0
2022-06-22 14:06:00,0,0
2022-06-22 14:05:59,0,0
2022-06-22 14:05:58,0,0
2022-06-22 14:05:57,0,0
2022-06-22 14:05:56,0,0
2022-06-22 14:05:55,0,0
2022-06-22 14:05:54,0,0
2022-06-22 14:05:53,0,0
2022-06-22 14:05:52,0,0
2022-06-22 14:05:51,0,0
2022-06-22 14:05:50,0,0
2022-06-22 14:05:49,0,0
2022-06-22 14:05:48,0,0
2022-06-22 14:05:47,0,0
2022-06-22 14:05:46,0,0
2022-06-22 14:05:45,0,0
2022-06-22 14:05:44,0,0
2022-06-22 14:05:43,0,0
2022-06-22 14:05:42,0,0
2022-06-22 14:05:41,0,0
2022-06-22 14:05:40,0,0
2022-06-22 14:05:39,0,0
2022-06-22 14:05:38,0,0
2022-06-22 14:05:37,0,0
2022-06-22 14:05:36,0,0
2022-06-22 14:05:35,0,0
2022-06-22 14:05:34,0,0
2022-06-22 14:05:33,0,0
2022-06-22 14:05:32,0,0
2022-06-22 14:05:31,0.2410436,-0.4141005
2022-06-22 14:05:30,0.3829564,-0.6578995
2022-06-22 14:05:29,0,0
2022-06-22 14:05:28,0,0
2022-06-22 14:05:27,0,0
2022-06-22 14:05:26,0,0
2022-06-22 14:05:25,0,0
2022-06-22 14:05:24,0,0
2022-06-22 14:05:23,0,0
2022-06-22 14:05:22,0,0
2022-06-22 14:05:21,0,0
2022-06-22 14:05:20,0,0
2022-06-22 14:05:19,0,0
2022-06-22 14:05:18,0,0
2022-06-22 14:05:17,0,0
2022-06-22 14:05:16,0,0
2022-06-22 14:05:15,0,0
2022-06-22 14:05:14,0,0
2022-06-22 14:05:13,0,0
2022-06-22 14:05:12,0,0
2022-06-22 14:05:11,0,0
2022-06-22 14:05:10,0,0
2022-06-22 14:05:09,0,0
2022-06-22 14:05:08,0,0
2022-06-22 14:05:07,0,0
2022-06-22 14:05:06,0,0
2022-06-22 14:05:05,0,0
2022-06-22 14:05:04,0,0
2022-06-22 14:05:03,0,0
2022-06-22 14:05:02,0,0
2022-06-22 14:05:01,0,0
2022-06-22 14:05:00,0,0
2022-06-22 14:04:59,0,0
2022-06-22 14:04:58,0,0
2022-06-22 14:04:57,0,0
2022-06-22 14:04:56,0,0
2022-06-22 14:04:55,0,0
2022-06-22 14:04:54,0,0
2022-06-22 14:04:53,0.9636526,-1.0130707
2022-06-22 14:04:52,1.5323474,-1.6109293
2022-06-22 14:04:51,0,0
2022-06-22 14:04:50,0,0
2022-06-22 14:04:49,0,0
2022-06-22 14:04:48,0,0
2022-06-22 14:04:47,0,0
2022-06-22 14:04:46,0.2410321,-0.4140808
2022-06-22 14:04:45,0.3829679,-0.6579192
2022-06-22 14:04:44,0,0
2022-06-22 14:04:43,0,0
2022-06-22 14:04:42,0,0
2022-06-22 14:04:41,0,0
2022-06-22 14:04:40,0,0
2022-06-22 14:04:39,0,0
2022-06-22 14:04:38,0,0
2022-06-22 14:04:37,0,0
2022-06-22 14:04:36,0,0
2022-06-22 14:04:35,0,0
2022-06-22 14:04:34,0,0
2022-06-22 14:04:33,0.9641712,-1.0074353
2022-06-22 14:04:32,1.5318288,-1.6005647
2022-06-22 14:04:31,0,0
2022-06-22 14:04:30,0,0
2022-06-22 14:04:29,0,0
2022-06-22 14:04:28,0,0
2022-06-22 14:04:27,0,0
2022-06-22 14:04:26,0,0
2022-06-22 14:04:25,0,0
2022-06-22 14:04:24,0,0
2022-06-22 14:04:23,0,0
2022-06-22 14:04:22,0,0
2022-06-22 14:04:21,0,0
2022-06-22 14:04:20,0,0
2022-06-22 14:04:19,0,0
2022-06-22 14:04:18,0,0
2022-06-22 14:04:17,0,0
2022-06-22 14:04:16,0,0
2022-06-22 14:04:15,0,0
2022-06-22 14:04:14,0,0
2022-06-22 14:04:13,0,0
2022-06-22 14:04:12,0,0
2022-06-22 14:04:11,0,0
2022-06-22 14:04:10,0,0
2022-06-22 14:04:09,0,0
2022-06-22 14:04:08,0,0
2022-06-22 14:04:07,0,0
2022-06-22 14:04:06,0,0
2022-06-22 14:04:05,0,0
2022-06-22 14:04:04,0,0
2022-06-22 14:04:03,0,0
2022-06-22 14:04:02,0,0
2022-06-22 14:04:01,0.2410032,-0.1606688
2022-06-22 14:04:00,0.3829968,-0.5087049
2022-06-22 14:03:59,0,-0.4026263
2022-06-22 14:03:58,0,0
2022-06-22 14:03:57,0,0
2022-06-22 14:03:56,0,0
2022-06-22 14:03:55,0,0
2022-06-22 14:03:54,0,0
2022-06-22 14:03:53,0,0
2022-06-22 14:03:52,0,0
2022-06-22 14:03:51,0,0
2022-06-22 14:03:50,0,0
2022-06-22 14:03:49,0,0
2022-06-22 14:03:48,0,0
2022-06-22 14:03:47,0,0
2022-06-22 14:03:46,0,0
2022-06-22 14:03:45,0,0
2022-06-22 14:03:44,0,0
2022-06-22 14:03:43,0,0
2022-06-22 14:03:42,0,0
2022-06-22 14:03:41,0,0
2022-06-22 14:03:40,0,0
2022-06-22 14:03:39,0,0
2022-06-22 14:03:38,0,0
2022-06-22 14:03:37,0,0
2022-06-22 14:03:36,0,0
2022-06-22 14:03:35,0,0
2022-06-22 14:03:34,0,0
2022-06-22 14:03:33,0,0
2022-06-22 14:03:32,0,0
2022-06-22 14:03:31,0,0
2022-06-22 14:03:30,0,0
2022-06-22 14:03:29,0,0
2022-06-22 14:03:28,0,0
2022-06-22 14:03:27,0,0
2022-06-22 14:03:26,0,0
2022-06-22 14:03:25,0,0
2022-06-22 14:03:24,0,0
2022-06-22 14:03:23,0,0
2022-06-22 14:03:22,0,0
2022-06-22 14:03:21,0,0
2022-06-22 14:03:20,0,0
2022-06-22 14:03:19,0,0
2022-06-22 14:03:18,0,0
2022-06-22 14:03:17,0,0
2022-06-22 14:03:16,0,0
2022-06-22 14:03:15,0.2412067,-0.4143807
2022-06-22 14:03:14,0.3827933,-0.6576193
2022-06-22 14:03:13,0,0
2022-06-22 14:03:12,0,0
2022-06-22 14:03:11,0,0
2022-06-22 14:03:10,0,0
2022-06-22 14:03:09,0,0
2022-06-22 14:03:08,0,0
2022-06-22 14:03:07,0,0
2022-06-22 14:03:06,0,0
2022-06-22 14:03:05,0,0
2022-06-22 14:03:04,0,0
2022-06-22 14:03:03,0,0
2022-06-22 14:03:02,0,0
2022-06-22 14:03:01,0,0
2022-06-22 14:03:00,0,0
2022-06-22 14:02:59,0,0
2022-06-22 14:02:58,0,0
2022-06-22 14:02:57,0,0
2022-06-22 14:02:56,0,0
2022-06-22 14:02:55,0,0
2022-06-22 14:02:54,0,0
2022-06-22 14:02:53,0,0
2022-06-22 14:02:52,0,0
2022-06-22 14:02:51,0,0
2022-06-22 14:02:50,0,0
2022-06-22 14:02:49,0,0
2022-06-22 14:02:48,0,0
2022-06-22 14:02:47,0,0
2022-06-22 14:02:46,0,0
2022-06-22 14:02:45,0,0
2022-06-22 14:02:44,0,0
2022-06-22 14:02:43,0,0
2022-06-22 14:02:42,0,0
2022-06-22 14:02:41,0,0
2022-06-22 14:02:40,0,0
2022-06-22 14:02:39,0,0
2022-06-22 14:02:38,0,0
2022-06-22 14:02:37,0,0
2022-06-22 14:02:36,0,0
2022-06-22 14:02:35,0,0
2022-06-22 14:02:34,0,0
2022-06-22 14:02:33,0,0
2022-06-22 14:02:32,0.9641598,-1.0136039
2022-06-22 14:02:31,1.77286,-2.024457
2022-06-22 14:02:30,0.3829797,-0.6579395
2022-06-22 14:02:29,0,0
2022-06-22 14:02:28,0,0
2022-06-22 14:02:27,0,0
2022-06-22 14:02:26,0,0
2022-06-22 14:02:25,0,0
2022-06-22 14:02:24,0,0
2022-06-22 14:02:23,0,0
2022-06-22 14:02:22,0,0
2022-06-22 14:02:21,0,0
2022-06-22 14:02:20,0,0
2022-06-22 14:02:19,0,0
2022-06-22 14:02:18,0,0
2022-06-22 14:02:17,0,0
2022-06-22 14:02:16,0,0
2022-06-22 14:02:15,0,0
2022-06-22 14:02:14,0,0
2022-06-22 14:02:13,0,0
2022-06-22 14:02:12,0,0
2022-06-22 14:02:11,0,0
2022-06-22 14:02:10,0,0
2022-06-22 14:02:09,304524.1,-1058.521
2022-06-22 14:02:08,1024106.9,-3573.716
2022-06-22 14:02:07,1397913.7,-4783.405
2022-06-22 14:02:06,1373586.9,-4426.592
2022-06-22 14:02:05,1296458.2,-4223.836
2022-06-22 14:02:04,1334439.6,-4779.277
2022-06-22 14:02:03,1410957,-5260.48
2022-06-22 14:02:02,1302638.4,-5017.155
2022-06-22 14:02:01,1354345.5,-4961.021
2022-06-22 14:02:00,1390566.5,-4867.338
2022-06-22 14:01:59,1399872.8,-5148.629
2022-06-22 14:01:58,1443775.3,-5342.268
2022-06-22 14:01:57,1440988.3,-5403.065
2022-06-22 14:01:56,1226403.4,-4741.653
2022-06-22 14:01:55,693624.1,-2698.497
2022-06-22 14:01:54,15.094089,-20.04523
2022-06-22 14:01:53,0,0
2022-06-22 14:01:52,0,0
2022-06-22 14:01:51,0,0
2022-06-22 14:01:50,0,0
2022-06-22 14:01:49,0,0
2022-06-22 14:01:48,0,0
2022-06-22 14:01:47,0,0
2022-06-22 14:01:46,0.2410084,-0.4140401
2022-06-22 14:01:45,0.3829916,-0.6579599
2022-06-22 14:01:44,0,0
2022-06-22 14:01:43,0,0
2022-06-22 14:01:42,0,0
2022-06-22 14:01:41,0,0
2022-06-22 14:01:40,0,0
2022-06-22 14:01:39,0,0
2022-06-22 14:01:38,0,0
2022-06-22 14:01:37,0,0
2022-06-22 14:01:36,0,0
2022-06-22 14:01:35,0,0
2022-06-22 14:01:34,0,0
2022-06-22 14:01:33,0,0
2022-06-22 14:01:32,0,0
2022-06-22 14:01:31,0,0
2022-06-22 14:01:30,0,0
2022-06-22 14:01:29,0,0
2022-06-22 14:01:28,0,0
2022-06-22 14:01:27,0,0
2022-06-22 14:01:26,0,0
2022-06-22 14:01:25,0,0
2022-06-22 14:01:24,0,0
2022-06-22 14:01:23,0,0
2022-06-22 14:01:22,0,0
2022-06-22 14:01:21,0,0
2022-06-22 14:01:20,0,0
2022-06-22 14:01:19,0,0
2022-06-22 14:01:18,0,0
2022-06-22 14:01:17,0,0
2022-06-22 14:01:16,0,0
2022-06-22 14:01:15,0,0
2022-06-22 14:01:14,0,0
2022-06-22 14:01:13,0,0
2022-06-22 14:01:12,0,0
2022-06-22 14:01:11,0,0
2022-06-22 14:01:10,0,0
2022-06-22 14:01:09,0,0
2022-06-22 14:01:08,0,0
2022-06-22 14:01:07,0,0
2022-06-22 14:01:06,0,0
2022-06-22 14:01:05,0,0
2022-06-22 14:01:04,0,0
2022-06-22 14:01:03,0,0
2022-06-22 14:01:02,0,0
2022-06-22 14:01:01,0,0
2022-06-22 14:01:00,0.2410325,-0.4140815
2022-06-22 14:00:59,0.3829675,-0.6579185
2022-06-22 14:00:58,0,0
2022-06-22 14:00:57,0,0
2022-06-22 14:00:56,0,0
2022-06-22 14:00:55,0,0
2022-06-22 14:00:54,0,0
2022-06-22 14:00:53,0,0
2022-06-22 14:00:52,0,0
2022-06-22 14:00:51,0,0
2022-06-22 14:00:50,0,0
2022-06-22 14:00:49,0,0
2022-06-22 14:00:48,0,0
2022-06-22 14:00:47,0,0
2022-06-22 14:00:46,0,0
2022-06-22 14:00:45,0,0
2022-06-22 14:00:44,0,0
2022-06-22 14:00:43,0,0
2022-06-22 14:00:42,0,0
2022-06-22 14:00:41,0,0
2022-06-22 14:00:40,0,0
2022-06-22 14:00:39,0,0
2022-06-22 14:00:38,0,0
2022-06-22 14:00:37,0,0
2022-06-22 14:00:36,0,0
2022-06-22 14:00:35,0,0
2022-06-22 14:00:34,0.9640179,-1.0134547
2022-06-22 14:00:33,1.5319821,-1.6105453
2022-06-22 14:00:32,0,0
2022-06-22 14:00:31,0,0
2022-06-22 14:00:30,0,0
2022-06-22 14:00:29,0,0
2022-06-22 14:00:28,0,0
2022-06-22 14:00:27,0,0
2022-06-22 14:00:26,0,0
2022-06-22 14:00:25,0,0
2022-06-22 14:00:24,0,0
2022-06-22 14:00:23,0,0
2022-06-22 14:00:22,0,0
2022-06-22 14:00:21,0,0
2022-06-22 14:00:20,0,0
2022-06-22 14:00:19,0,0
2022-06-22 14:00:18,0,0
2022-06-22 14:00:17,0,0
2022-06-22 14:00:16,0.2410329,-0.4140822
2022-06-22 14:00:15,0.3829671,-0.6579178
2022-06-22 14:00:14,0,0
2022-06-22 14:00:13,0,0
2022-06-22 14:00:12,0,0
2022-06-22 14:00:11,0,0
2022-06-22 14:00:10,0,0
2022-06-22 14:00:09,0,0
2022-06-22 14:00:08,0,0
2022-06-22 14:00:07,0,0
2022-06-22 14:00:06,0,0
2022-06-22 14:00:05,0,0
2022-06-22 14:00:04,0,0
2022-06-22 14:00:03,0,0
2022-06-22 14:00:02,0,0
2022-06-22 14:00:01,0,0
2022-06-22 14:00:00,0,0
2022-06-22 13:59:59,0,0
2022-06-22 13:59:58,0,0
2022-06-22 13:59:57,0,0
2022-06-22 13:59:56,0,0
2022-06-22 13:59:55,0,0
2022-06-22 13:59:54,0,0
2022-06-22 13:59:53,0,0
2022-06-22 13:59:52,0,0
2022-06-22 13:59:51,0,0
2022-06-22 13:59:50,0,0
2022-06-22 13:59:49,0,0
2022-06-22 13:59:48,0,0
2022-06-22 13:59:47,0,0
2022-06-22 13:59:46,0,0
2022-06-22 13:59:45,0,0
2022-06-22 13:59:44,0,0
2022-06-22 13:59:43,0,0
2022-06-22 13:59:42,0,0
2022-06-22 13:59:41,0,0
2022-06-22 13:59:40,0,0
2022-06-22 13:59:39,0,0
2022-06-22 13:59:38,0,0
2022-06-22 13:59:37,0,0
2022-06-22 13:59:36,0,0
2022-06-22 13:59:35,0,0
2022-06-22 13:59:34,0.9634483,-1.00668
2022-06-22 13:59:33,1.5325517,-1.60132
2022-06-22 13:59:32,0,0
2022-06-22 13:59:31,0.2409497,-0.4139393
2022-06-22 13:59:30,0.3830503,-0.6580607
2022-06-22 13:59:29,0,0
2022-06-22 13:59:28,0,0
2022-06-22 13:59:27,0,0
2022-06-22 13:59:26,0,0
2022-06-22 13:59:25,0,0
2022-06-22 13:59:24,0,0
2022-06-22 13:59:23,0,0
2022-06-22 13:59:22,0,0
2022-06-22 13:59:21,0,0
2022-06-22 13:59:20,0,0
2022-06-22 13:59:19,0,0
2022-06-22 13:59:18,0,0
2022-06-22 13:59:17,0,0
2022-06-22 13:59:16,0,0
2022-06-22 13:59:15,0,0
2022-06-22 13:59:14,0,0
2022-06-22 13:59:13,0,0
2022-06-22 13:59:12,0,0
2022-06-22 13:59:11,0,0
2022-06-22 13:59:10,0,0
2022-06-22 13:59:09,0,0
2022-06-22 13:59:08,0,0
2022-06-22 13:59:07,0,0
2022-06-22 13:59:06,0,0
2022-06-22 13:59:05,0,0
2022-06-22 13:59:04,0,0
2022-06-22 13:59:03,0,0
2022-06-22 13:59:02,0,0
2022-06-22 13:59:01,0,0
2022-06-22 13:59:00,0,0
2022-06-22 13:58:59,0,0
2022-06-22 13:58:58,0,0
2022-06-22 13:58:57,0,0
2022-06-22 13:58:56,0,0
2022-06-22 13:58:55,0,0
2022-06-22 13:58:54,0,0
2022-06-22 13:58:53,0,0
2022-06-22 13:58:52,0,0
2022-06-22 13:58:51,0,0
2022-06-22 13:58:50,0,0
2022-06-22 13:58:49,0,0
2022-06-22 13:58:48,0,0
2022-06-22 13:58:47,0,0
2022-06-22 13:58:46,0,0
2022-06-22 13:58:45,0.2409059,-0.413864
2022-06-22 13:58:44,0.3830941,-0.658136
2022-06-22 13:58:43,0,0
2022-06-22 13:58:42,0,0
2022-06-22 13:58:41,0,0
2022-06-22 13:58:40,0,0
2022-06-22 13:58:39,0,0
2022-06-22 13:58:38,0,0
2022-06-22 13:58:37,0,0
2022-06-22 13:58:36,0,0
2022-06-22 13:58:35,0,0
2022-06-22 13:58:34,0,0
2022-06-22 13:58:33,0,0
2022-06-22 13:58:32,0,0
2022-06-22 13:58:31,0,0
2022-06-22 13:58:30,0,0
2022-06-22 13:58:29,0,0
2022-06-22 13:58:28,0,0
2022-06-22 13:58:27,0,0
2022-06-22 13:58:26,0,0
2022-06-22 13:58:25,0,0
2022-06-22 13:58:24,0,0
2022-06-22 13:58:23,0,0
2022-06-22 13:58:22,0,0
2022-06-22 13:58:21,0.9636375,-1.0130548
2022-06-22 13:58:20,1.5323625,-1.6109452
2022-06-22 13:58:19,0,0
2022-06-22 13:58:18,0,0
2022-06-22 13:58:17,0,0
2022-06-22 13:58:16,0,0
2022-06-22 13:58:15,0,0
2022-06-22 13:58:14,0,0
2022-06-22 13:58:13,0,0
2022-06-22 13:58:12,0,0
2022-06-22 13:58:11,0,0
2022-06-22 13:58:10,0,0
2022-06-22 13:58:09,0,0
2022-06-22 13:58:08,0,0
2022-06-22 13:58:07,0,0
2022-06-22 13:58:06,0,0
2022-06-22 13:58:05,0,0
2022-06-22 13:58:04,0,0
2022-06-22 13:58:03,0,0
2022-06-22 13:58:02,0,0
2022-06-22 13:58:01,0,0
2022-06-22 13:58:00,0.2409131,-0.4138764
2022-06-22 13:57:59,0.3830869,-0.6581236
2022-06-22 13:57:58,0,0
2022-06-22 13:57:57,0,0
2022-06-22 13:57:56,0,0
2022-06-22 13:57:55,0,0
2022-06-22 13:57:54,0,0
2022-06-22 13:57:53,0,0
2022-06-22 13:57:52,0,0
2022-06-22 13:57:51,0,0
2022-06-22 13:57:50,0,0
2022-06-22 13:57:49,0,0
2022-06-22 13:57:48,0,0
2022-06-22 13:57:47,0,0
2022-06-22 13:57:46,0,0
2022-06-22 13:57:45,0,0
2022-06-22 13:57:44,0,0
2022-06-22 13:57:43,0,0
2022-06-22 13:57:42,0,0
2022-06-22 13:57:41,0,0
2022-06-22 13:57:40,22927.48,-89.6854
2022-06-22 13:57:39,599288.1,-2168.181
2022-06-22 13:57:38,1404502,-4948.384
2022-06-22 13:57:37,1203662.3,-4042.05
2022-06-22 13:57:36,1169550.7,-4013.121
2022-06-22 13:57:35,1461155.6,-5225.835
2022-06-22 13:57:34,1484092,-5401.079
2022-06-22 13:57:33,1371434.6,-5221.326
2022-06-22 13:57:32,1354647.8,-5173.806
2022-06-22 13:57:31,1343544.1,-5004.849
2022-06-22 13:57:30,1299920.6,-4790.943
2022-06-22 13:57:29,1368260.2,-5234.045
2022-06-22 13:57:28,1324094.4,-5127.528
2022-06-22 13:57:27,1251060.7,-4758.398
2022-06-22 13:57:26,1144469.4,-4294.534
2022-06-22 13:57:25,591973.7,-2295.865
2022-06-22 13:57:24,14.836062,-20.0417
2022-06-22 13:57:23,0,0
2022-06-22 13:57:22,0,0
2022-06-22 13:57:21,0,0
2022-06-22 13:57:20,0,0
2022-06-22 13:57:19,0,0
2022-06-22 13:57:18,0,0
2022-06-22 13:57:17,0,0
2022-06-22 13:57:16,0,0
2022-06-22 13:57:15,0.2408908,-0.4138381
2022-06-22 13:57:14,0.3831092,-0.6581619
2022-06-22 13:57:13,0,0
2022-06-22 13:57:12,0,0
2022-06-22 13:57:11,0,0
2022-06-22 13:57:10,0,0
2022-06-22 13:57:09,0,0
2022-06-22 13:57:08,0,0
2022-06-22 13:57:07,0,0
2022-06-22 13:57:06,0,0
2022-06-22 13:57:05,0,0
2022-06-22 13:57:04,0,0
2022-06-22 13:57:03,0.9636565,-1.0068974
2022-06-22 13:57:02,1.5323435,-1.6011026
2022-06-22 13:57:01,0,0
2022-06-22 13:57:00,0,0
2022-06-22 13:56:59,0,0
2022-06-22 13:56:58,0,0
2022-06-22 13:56:57,0,0
2022-06-22 13:56:56,0,0
2022-06-22 13:56:55,0,0
2022-06-22 13:56:54,0,0
2022-06-22 13:56:53,0,0
2022-06-22 13:56:52,0,0
2022-06-22 13:56:51,0,0
2022-06-22 13:56:50,0,0
2022-06-22 13:56:49,0,0
2022-06-22 13:56:48,0,0
2022-06-22 13:56:47,0,0
2022-06-22 13:56:46,0,0
2022-06-22 13:56:45,0,0
2022-06-22 13:56:44,0,0
2022-06-22 13:56:43,0,0
2022-06-22 13:56:42,0,0
2022-06-22 13:56:41,0,0
2022-06-22 13:56:40,0,0
2022-06-22 13:56:39,0,0
2022-06-22 13:56:38,0,0
2022-06-22 13:56:37,0,0
2022-06-22 13:56:36,0,0
2022-06-22 13:56:35,0,0
2022-06-22 13:56:34,0,0
2022-06-22 13:56:33,0,0
2022-06-22 13:56:32,0,0
2022-06-22 13:56:31,0,0
2022-06-22 13:56:30,0.2409366,-0.4139167
2022-06-22 13:56:29,0.3830634,-0.6580833
2022-06-22 13:56:28,0,0
2022-06-22 13:56:27,0,0
2022-06-22 13:56:26,0,0
2022-06-22 13:56:25,0,0
2022-06-22 13:56:24,0,0
2022-06-22 13:56:23,0,0
2022-06-22 13:56:22,0,0
2022-06-22 13:56:21,0,0
2022-06-22 13:56:20,0,0
2022-06-22 13:56:19,0,0
2022-06-22 13:56:18,0,0
2022-06-22 13:56:17,0,0
2022-06-22 13:56:16,0,0
2022-06-22 13:56:15,0,0
2022-06-22 13:56:14,0,0
2022-06-22 13:56:13,0,0
2022-06-22 13:56:12,0,0
2022-06-22 13:56:11,0,0
2022-06-22 13:56:10,0,0
2022-06-22 13:56:09,0,0
2022-06-22 13:56:08,0,0
2022-06-22 13:56:07,0,0
2022-06-22 13:56:06,0,0
2022-06-22 13:56:05,0,0
2022-06-22 13:56:04,0,0
2022-06-22 13:56:03,0,0
2022-06-22 13:56:02,0,0
2022-06-22 13:56:01,0,0
2022-06-22 13:56:00,0,0
2022-06-22 13:55:59,0,0
2022-06-22 13:55:58,0,0
2022-06-22 13:55:57,0,0
2022-06-22 13:55:56,0,0
2022-06-22 13:55:55,0,0
2022-06-22 13:55:54,0.9635624,-1.0129758
2022-06-22 13:55:53,1.5324376,-1.6110242
2022-06-22 13:55:52,0,0
2022-06-22 13:55:51,0,0
2022-06-22 13:55:50,0,0
2022-06-22 13:55:49,0,0
2022-06-22 13:55:48,0,0
2022-06-22 13:55:47,0,0
2022-06-22 13:55:46,0,0
2022-06-22 13:55:45,0,0
2022-06-22 13:55:44,0.2409088,-0.4138689
2022-06-22 13:55:43,0.3830912,-0.6581311
2022-06-22 13:55:42,0,0
2022-06-22 13:55:41,0,0
2022-06-22 13:55:40,0,0
2022-06-22 13:55:39,0,0
2022-06-22 13:55:38,0,0
2022-06-22 13:55:37,0,0
2022-06-22 13:55:36,0,0
2022-06-22 13:55:35,0,0
2022-06-22 13:55:34,0,0
2022-06-22 13:55:33,0,0
2022-06-22 13:55:32,0,0
2022-06-22 13:55:31,0,0
2022-06-22 13:55:30,0,0
2022-06-22 13:55:29,0,0
2022-06-22 13:55:28,0,0
2022-06-22 13:55:27,0,0
2022-06-22 13:55:26,0,0
2022-06-22 13:55:25,0,0
2022-06-22 13:55:24,0,0
2022-06-22 13:55:23,0,0
2022-06-22 13:55:22,0,0
2022-06-22 13:55:21,0,0
2022-06-22 13:55:20,0,0
2022-06-22 13:55:19,0,0
2022-06-22 13:55:18,0,0
2022-06-22 13:55:17,0,0
2022-06-22 13:55:16,0,0
2022-06-22 13:55:15,0,0
2022-06-22 13:55:14,0,0
2022-06-22 13:55:13,0,0
2022-06-22 13:55:12,0,0
2022-06-22 13:55:11,0,0
2022-06-22 13:55:10,0,0
2022-06-22 13:55:09,0,0
2022-06-22 13:55:08,0,0
2022-06-22 13:55:07,0,0
2022-06-22 13:55:06,0,0
2022-06-22 13:55:05,0,0
2022-06-22 13:55:04,0,0
2022-06-22 13:55:03,0,0
2022-06-22 13:55:02,0,0
2022-06-22 13:55:01,0,0
2022-06-22 13:55:00,0.2408742,-0.4138094
2022-06-22 13:54:59,0.3831258,-0.6581906
